question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Which Article of the Indian Constitution is most closely tied to equality before the law?,Article 12,Article 14,Article 19(1)(a),Article 32,B,Legal Aptitude,Part III Fundamental Rights,Article 14 guarantees equality before the law and equal protection of the laws.
A contract by a minor is generally treated as?,Valid,Voidable,Void ab initio,Contingent,C,Legal Aptitude,Capacity to contract,Under the Indian Contract Act agreements with a minor are void ab initio with limited exceptions.
Habeas corpus is primarily used to?,Transfer property,Challenge illegal detention,Stop a lower court,Remove a public servant,B,Legal Aptitude,Latin you shall have the body,The writ of habeas corpus secures the release of a person alleged to be unlawfully detained.
Defamation in tort law chiefly protects?,Title to land,Reputation,Contractual expectation,Patent rights,B,Legal Aptitude,Think harm to name or character,Defamation protects reputation from false statements that lower a person in the estimation of others.
Mens rea in criminal law broadly refers to?,The physical act,The guilty mind or fault element,The sentence,The charge sheet,B,Legal Aptitude,Contrast with actus reus,Mens rea denotes the mental element often required for criminal liability alongside a wrongful act.
Which of these is a civil wrong remedied by damages or injunction?,Tort,Bail,Extradition,Impeachment,A,Legal Aptitude,Not every wrong is a crime,Torts are civil wrongs for which the law provides a remedy usually in damages.
Article 21 of the Constitution deals with?,Freedom of trade,Protection of life and personal liberty,Right to property,Official language,B,Legal Aptitude,Read with due process themes,Article 21 states that no person shall be deprived of life or personal liberty except according to procedure established by law.
Offer and acceptance in contract law typically produce?,A tort,An agreement,A statute,A decree,B,Legal Aptitude,First step before enforceable contract,Mutual assent through offer and acceptance forms an agreement; further requirements may be needed for a binding contract.
Who is the ceremonial head of the Indian Union?,Prime Minister,President of India,Chief Justice,Lok Sabha Speaker,B,GK & Current Affairs,Union executive head,Rashtrapati is the head of state under the Constitution.
How many schedules did the original Constitution of India have?,6,8,10,12,B,GK & Current Affairs,Original instrument 1950,The Constitution as adopted had 8 Schedules though amendments later added more.
The line Actually three countries meet at a single point is NOT true for which trijunction?,India–Nepal–China,India–Myanmar–China,India–Bangladesh–Myanmar,India–Pakistan–China,D,GK & Current Affairs,Think maps and borders,India–Pakistan–China do not meet at one point; other listed trijunctions involve real border meeting points in the region.
UNESCO World Heritage Site status primarily recognises?,Military bases,Outstanding universal cultural or natural value,Stock exchanges,National highways,B,GK & Current Affairs,Conservation and heritage,UNESCO inscribes sites of outstanding universal value to humanity.
The first general elections in independent India were held in?,1948,1951–52,1955,1960,B,GK & Current Affairs,Post-Constitution commencement,The first Lok Sabha elections took place in 1951–52.
Green Revolution in India is most associated with a sharp rise in?,Coal output,Foodgrain productivity especially wheat and rice,Software exports,Shipbuilding,B,GK & Current Affairs,1960s agriculture,High-yield varieties and inputs boosted cereal output in Punjab Haryana and elsewhere.
If all roses are flowers and this is a rose then it is?,A tree,A flower,A metal,A season,B,Logical Reasoning,Syllogism first step,From universal premise and membership in the class the instance inherits the predicate.
Find the odd pair out.,Hammer–Nail,Pen–Paper,Brush–Paint,Lock–Key,B,Logical Reasoning,One relationship differs,Pen–Paper is a writing pairing; others are tool–target pairs in a similar physical-use sense (multiple interpretations possible in drills).
In a row A is left of B and B is left of C. Who is rightmost?,A,B,C,Cannot say,C,Logical Reasoning,Order on a line,Transitive left-of ordering places C to the right of both.
Which number continues the series 2 4 8 16 ?,24,32,20,28,B,Logical Reasoning,Each step doubles,Geometric progression multiplying by 2.
If today is Wednesday what day was 10 days ago?,Sunday,Monday,Saturday,Friday,A,Logical Reasoning,Modulo 7 on weekdays,10 mod 7 is 3; three days before Wednesday is Sunday.
Coding: if CAT is written as DBU each letter shifts +1 how is DOG written?,EPH,FQI,ENH,GPH,A,Logical Reasoning,Shift cipher,D+1 E O+1 P G+1 H gives EPH.
Statement: Some lawyers are poets. All poets like tea. Conclusion: Some lawyers like tea.,Definitely true,Definitely false,Cannot be determined,Only if all lawyers are poets,C,Logical Reasoning,Venn overlap,Some lawyers may be outside the poet subset that likes tea; the conclusion does not necessarily follow.
A shop offers 20 percent discount on a marked price of 500 rupees. The sale price is?,300 rupees,400 rupees,420 rupees,450 rupees,B,Basic Math,Discount on 500,Twenty percent of 500 is 100; 500 minus 100 equals 400.
What is 15 percent of 200?,20,25,30,35,C,Basic Math,0.15 times 200,15% of 200 equals 30.
Choose the word nearest in meaning to BRIEF.,Lengthy,Short,Angry,Noisy,B,English,Think duration or extent,Brief means short in time or words.
Choose the correctly spelled word.,Accomodate,Accommodate,Acommodate,Acomodate,B,English,Double letters,Accommodate uses double c and double m.
Fill in the blank: She has been working here ___ 2019.,for,since,during,from,B,English,Point in time,Since is used with a starting point in the past continuing to now.
Identify the error: The team are playing good.,No error,Subject–verb agreement,Article missing,Wrong preposition,B,English,Collective noun,Team as a single unit often takes singular verb plays in formal usage.
Antonym of GENEROUS?,Stingy,Kind,Polite,Brave,A,English,Opposite of giving,Stingy contrasts with generous.
Rearrange meaningfully: 1 never 2 he 3 lies.,He never lies.,Never he lies.,Lies he never.,He lies never.,A,English,Standard word order,Subject + adverb + verb is natural in English.
Which sentence uses the passive voice?,The judge delivered the verdict.,The verdict was delivered by the judge.,She quickly read the order.,They will submit the form tomorrow.,B,English,Look for be + past participle,The verdict was delivered is passive; the others are primarily active constructions.
