question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Who is the current Prime Minister of India (2024)?,Amit Shah,Narendra Modi,Rahul Gandhi,Arvind Kejriwal,B,GK & Current Affairs,He has been PM since 2014,Narendra Modi is the Prime Minister of India since May 2014 and was re-elected in 2019 and 2024.
Which is the largest state in India by area?,Madhya Pradesh,Rajasthan,Maharashtra,Uttar Pradesh,B,GK & Current Affairs,Think about the desert state,Rajasthan is the largest state in India by area covering about 342239 sq km.
The Preamble of the Indian Constitution declares India as a?,Democratic Republic,Sovereign Socialist Secular Democratic Republic,Federal State,Constitutional Monarchy,B,GK & Current Affairs,Remember all 5 words,The Preamble declares India a Sovereign Socialist Secular Democratic Republic.
In which year did India gain independence?,1945,1946,1947,1948,C,GK & Current Affairs,It is celebrated on 15 August,India gained independence from British rule on 15 August 1947.
Who is known as the Iron Man of India?,Mahatma Gandhi,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Subhas Chandra Bose,C,GK & Current Affairs,He united the princely states,Sardar Vallabhbhai Patel is called the Iron Man of India for his role in integrating 562 princely states into the Indian Union.
The national currency of India is managed by?,Finance Ministry,SEBI,RBI,SBI,C,GK & Current Affairs,Think central bank,The Reserve Bank of India (RBI) is responsible for issuing and managing the national currency - the Indian Rupee.
Which planet is called the Red Planet?,Venus,Jupiter,Mars,Saturn,C,GK & Current Affairs,It has iron oxide on its surface,Mars is called the Red Planet because its surface is covered with iron oxide (rust) giving it a reddish appearance.
Who wrote the Indian National Anthem?,Bankim Chandra Chattopadhyay,Rabindranath Tagore,Mahatma Gandhi,Sarojini Naidu,B,GK & Current Affairs,He also won Nobel Prize for literature,Jana Gana Mana was written by Rabindranath Tagore and was adopted as the national anthem on 24 January 1950.
Which is the longest river in India?,Yamuna,Godavari,Ganga,Brahmaputra,C,GK & Current Affairs,It is also the holiest river,The Ganga (Ganges) is the longest river in India at approximately 2525 km in length.
The headquarters of ISRO is located in?,Mumbai,Hyderabad,Bengaluru,Chennai,C,GK & Current Affairs,It is in the Silicon Valley of India,ISRO - Indian Space Research Organisation - is headquartered in Bengaluru (Bangalore) Karnataka.
Who was the first President of India?,Jawaharlal Nehru,Sardar Patel,Dr. Rajendra Prasad,Dr. B.R. Ambedkar,C,GK & Current Affairs,He was a lawyer from Bihar,Dr. Rajendra Prasad was the first President of India serving from 1950 to 1962.
In which year was the Indian Constitution adopted?,1947,1948,1949,1950,C,GK & Current Affairs,It was adopted before Republic Day,The Constitution of India was adopted by the Constituent Assembly on 26 November 1949 and came into force on 26 January 1950.
Which is the smallest state in India by area?,Goa,Sikkim,Tripura,Manipur,A,GK & Current Affairs,It is a coastal state famous for beaches,Goa is the smallest state in India by area covering just 3702 sq km.
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,James Watt,B,GK & Current Affairs,He patented it in 1876,Alexander Graham Bell is credited with inventing the telephone. He received the patent in 1876.
The Great Wall of China was built primarily to protect against?,Mongols,Japanese,British,French,A,GK & Current Affairs,Think northern neighbors of China,The Great Wall of China was primarily built to protect Chinese states against the raids and invasions of the Mongols and other nomadic groups.
Which gas is most abundant in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,C,GK & Current Affairs,It makes up about 78% of air,Nitrogen is the most abundant gas in Earth's atmosphere making up approximately 78% of the air we breathe.
The United Nations was established in which year?,1943,1944,1945,1946,C,GK & Current Affairs,It was after World War II,The United Nations was officially established on 24 October 1945 after the end of World War II.
