question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"Choose the synonym of 'BENEVOLENT'.",Cruel,Malicious,Kind,Proud,C,English,Think of a positive word meaning well-wishing,Benevolent means well-meaning and kindly disposed. Its synonym is Kind.
"Choose the antonym of 'MAGNANIMOUS'.",Generous,Noble,Petty,Brave,C,English,Magnanimous means generous in forgiving,Magnanimous means generous in forgiving or showing nobility of mind. Its antonym is Petty (small-minded).
"Select the correctly spelled word.",Accomodation,Accommodation,Acommodation,Accomadation,B,English,Double m and double o,The correct spelling is Accommodation – with double 'c' and double 'm'.
"Fill in the blank: She ___ to school every day.",go,goes,gone,going,B,English,Subject is singular she → use 's' form,With a singular third-person subject (she) the verb takes the –s form in simple present tense. She goes.
"Choose the correct sentence.",He don't know the answer.,He doesn't knows the answer.,He doesn't know the answer.,He not know the answer.,C,English,Use does + not + base form,In negative sentences with third-person singular use 'does not' (doesn't) followed by the base form of verb: He doesn't know.
"The plural of 'Child' is?",Childs,Childes,Children,Childrens,C,English,Irregular plural,Child has an irregular plural: Children. Not 'childs'.
"Choose the synonym of 'ELOQUENT'.",Speechless,Articulate,Harsh,Dull,B,English,Eloquent = ability to speak fluently and expressively,Eloquent means fluent and persuasive in speaking. Its synonym is Articulate.
"Find the correctly punctuated sentence.",Its a beautiful day.,It's a beautiful, day.,It's a beautiful day.,Its' a beautiful day.,C,English,It's = It is (contraction not possessive),The contraction 'It's' = 'It is'. So 'It's a beautiful day.' is correct with proper punctuation.
"Choose the correct meaning of the idiom: 'Beat around the bush'",To garden,To avoid coming to the point,To be aggressive,To work hard,B,English,Think: talking round a topic without getting to the point,To 'beat around the bush' means to avoid talking about the main topic or to not speak directly about something.
"Fill in the blank: Neither Ram nor his friends ___ present.",was,were,is,are,B,English,Neither...nor: verb agrees with the nearer subject,When 'neither...nor' joins two subjects the verb agrees with the subject closer to it. 'Friends' is plural so 'were' is correct.
"Choose the antonym of 'VERBOSE'.",Talkative,Wordy,Concise,Elaborate,C,English,Verbose = using more words than needed,Verbose means using or expressed in more words than are needed. Its antonym is Concise.
"Identify the type of sentence: 'What a beautiful painting this is!'",Declarative,Interrogative,Imperative,Exclamatory,D,English,It expresses strong emotion and ends with !,Exclamatory sentences express strong emotions and typically end with an exclamation mark.
"Choose the correct passive voice of: 'She writes a letter.'",A letter is written by her.,A letter was written by her.,A letter has been written by her.,A letter is being written by her.,A,English,Simple present active → simple present passive,Active: She (subject) writes (verb) a letter (object). Passive: A letter (subject) is written (verb) by her (object).
"The word 'Egregious' means?",Ordinary,Outstanding in a bad way,Excellent,Generous,B,English,It originally meant 'remarkably good' but now means very bad,Egregious now means remarkably bad or flagrant. Example: an egregious error.
"Fill in the blank: He has been working here ___ 2010.",for,since,from,by,B,English,Since is used with a specific point in time,Since is used with a point in time (2010) while 'for' is used with a duration (five years).
"Choose the indirect speech: She said 'I am happy'.",She said that she is happy.,She said that she was happy.,She told that she has been happy.,She said she had been happy.,B,English,Tense shifts back in indirect speech,In reporting speech the present tense 'am' shifts to past tense 'was'. So: She said that she was happy.
"Choose the correct comparative form of 'Good'.",Gooder,More good,Better,Best,C,English,Good has irregular comparative form,The comparative of 'good' is 'better' (irregular). 'Best' is the superlative form.
"Choose the synonym of 'INSOLENT'.",Polite,Humble,Impudent,Shy,C,English,Think rude disrespectful attitude,Insolent means showing a rude and arrogant lack of respect. Synonym: Impudent.
"Select the sentence with correct subject-verb agreement.",The team are ready.,The teams is ready.,The team is ready.,Teams is ready.,C,English,Collective noun 'team' takes singular verb,Collective nouns like 'team' are treated as singular units and take singular verbs: The team is ready.
"What does the idiom 'Spill the beans' mean?",Cook a meal,Reveal secret information,Make a mess,Start an argument,B,English,Think: revealing something that was hidden,To 'spill the beans' means to reveal secret or private information inadvertently or intentionally.
"Fill in the blank: ___ you lend me your pen?",Will,Can,Could,Shall,C,English,Use 'Could' for a polite request,Could is more polite than Can when making a request. 'Could you lend me your pen?' is politely phrased.
"Choose the antonym of 'FRUGAL'.",Economical,Thrifty,Extravagant,Careful,C,English,Frugal means careful with money,Frugal means sparing or economical with money. Its antonym is Extravagant (spending money freely).
"Identify the figure of speech: 'The wind howled in the dark night.'",Simile,Metaphor,Personification,Alliteration,C,English,The wind is given a human quality,Personification is the attribution of human characteristics to non-human things. Wind cannot 'howl' like a person – it is personified.
"Choose the correct sentence.",Ram and Sita is going.,Ram and Sita goes to school.,Ram and Sita are going to school.,Ram and Sita was going to school.,C,English,Two subjects joined by 'and' take plural verb,'Ram and Sita' is a compound subject requiring a plural verb 'are'.
"Find the odd word out:",Cheerful,Joyful,Gleeful,Gloomy,D,English,Three are synonyms of happy,Cheerful Joyful and Gleeful all mean happy or in good spirits. Gloomy means sad or dark – it is the odd one out.
"Which sentence uses the apostrophe correctly?",The dogs bone is here.,The dog's bone is here.,The dogs' bone is here.,The dogs's bone is here.,B,English,Singular possessive: noun + apostrophe + s,For a singular noun showing possession add apostrophe + s: dog's bone.
"Choose the correct one-word substitution: 'One who knows many languages'.",Linguist,Polyglot,Bibliophile,Philanthropist,B,English,Poly = many glot = language,A Polyglot is a person who knows and uses several languages.
"Fill in the blank: He is the ___ of the two brothers.",taller,tallest,more tall,most tall,A,English,Comparing two → use comparative form,When comparing two people use the comparative form. 'Taller' is the comparative of 'tall'. Superlative 'tallest' is for three or more.
"What does the idiom 'Bite the bullet' mean?",To eat metal,To face a painful situation bravely,To give up,To think before acting,B,English,Think: enduring something painful,To 'bite the bullet' means to endure a painful or difficult situation with courage and stoicism.
"Choose the word that is spelled correctly.",Seize,Sieze,Seize,Seize,A,English,Ei after 's' – exception to i before e rule,"The correct spelling is Seize. The rule 'i before e except after c' has exceptions; 'seize' follows the 'ei' pattern after 's'.",
