question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Which article of the Indian Constitution guarantees Right to Equality?,Article 12,Article 14,Article 19,Article 21,B,Legal Aptitude,Look in Part III – Fundamental Rights,Article 14 guarantees equality before law and equal protection of laws to all persons within the territory of India.
The writ of Habeas Corpus is issued to:,Produce a person before court,Prohibit a lower court,Quash an order,Transfer a case,A,Legal Aptitude,The Latin phrase means 'you may have the body',Habeas Corpus literally means 'to have the body'. It is used to release a person who has been unlawfully detained.
Which article abolishes untouchability in India?,Article 15,Article 16,Article 17,Article 18,C,Legal Aptitude,It is in the chapter on Right to Equality,Article 17 abolishes untouchability and forbids its practice in any form.
The Directive Principles of State Policy are contained in which Part of the Constitution?,Part III,Part IV,Part V,Part VI,B,Legal Aptitude,They are non-justiciable rights,Part IV (Articles 36–51) contains Directive Principles of State Policy.
Who is known as the Father of the Indian Constitution?,Jawaharlal Nehru,Sardar Vallabhbhai Patel,B.R. Ambedkar,Rajendra Prasad,C,Legal Aptitude,,Dr. B.R. Ambedkar chaired the Drafting Committee and played the most significant role in drafting the Constitution.
The concept of Judicial Review in India is borrowed from:,UK,USA,Canada,Australia,B,Legal Aptitude,Think about the power of courts to review laws,India borrowed the concept of Judicial Review from the USA.
Which article gives the President of India the power to promulgate Ordinances?,Article 120,Article 123,Article 132,Article 141,B,Legal Aptitude,It deals with legislative powers of the President when Parliament is not in session,Article 123 grants the President power to promulgate Ordinances during recess of Parliament.
The Supreme Court of India was established in:,1947,1950,1935,1919,B,Legal Aptitude,It was established when the Constitution came into force,The Supreme Court of India was established on 28 January 1950 when the Constitution came into force.
Freedom of Press in India is implied under which article?,Article 19(1)(a),Article 19(1)(b),Article 21,Article 22,A,Legal Aptitude,It is part of Freedom of Speech and Expression,The Supreme Court has held that Freedom of Press is implied under Article 19(1)(a) – Freedom of Speech and Expression.
Which amendment introduced the word 'secular' in the Preamble?,42nd,44th,52nd,61st,A,Legal Aptitude,It is known as the Mini-Constitution,The 42nd Constitutional Amendment (1976) added the words 'socialist' and 'secular' to the Preamble.
A contract made by a minor is:,Voidable,Void,Valid,Unenforceable,B,Legal Aptitude,Minors lack contractual capacity,A contract with a minor is void ab initio (from the beginning) as per the Indian Contract Act 1872.
The term 'Tort' originated from which language?,Latin,French,Greek,German,B,Legal Aptitude,It comes from the word for 'wrong',The word 'Tort' is derived from the Latin word 'Tortum' meaning 'twisted' but entered law through Old French.
Which of the following is NOT a condition for a valid contract?,Offer and acceptance,Free consent,Consideration,Written format,D,Legal Aptitude,Think about the essentials of a valid contract,A valid contract does not require a written format. The essentials are offer acceptance free consent lawful consideration and lawful object.
Damnum sine injuria means:,Injury without damage,Damage without legal injury,Both damage and injury,Neither damage nor injury,B,Legal Aptitude,This is a Latin legal maxim,Damnum sine injuria means damage without legal injury — the claimant suffers actual loss but no legal right is violated.
Ubi jus ibi remedium means:,Where there is a right there is a remedy,Where there is law there is justice,The law is supreme,A right cannot be waived,A,Legal Aptitude,This is a foundational principle of law,The Latin maxim means 'where there is a right there is a remedy' — every legal right has a corresponding remedy.
Which Schedule of the Constitution deals with the allocation of seats in the Rajya Sabha?,First,Third,Fourth,Eighth,C,Legal Aptitude,Think about the composition of Parliament,The Fourth Schedule deals with the allocation of seats in the Rajya Sabha to States and Union Territories.
The doctrine of 'Basic Structure' was propounded in which case?,Golaknath case,Kesavananda Bharati case,Minerva Mills case,Maneka Gandhi case,B,Legal Aptitude,A 13-judge constitutional bench decided this,The Basic Structure doctrine was established in Kesavananda Bharati v. State of Kerala (1973).
Under the Indian Penal Code a crime has two essential elements: actus reus and:,Mens rea,Corpus delicti,Res judicata,Respondeat superior,A,Legal Aptitude,Actus reus means guilty act; the other element involves the mental state,Mens rea means guilty mind. Both actus reus (guilty act) and mens rea (guilty intention) must be present for a crime.
Which article deals with the Right to Constitutional Remedies?,Article 29,Article 30,Article 31,Article 32,D,Legal Aptitude,Dr. Ambedkar called it the heart and soul of the Constitution,Article 32 provides for the Right to Constitutional Remedies and allows individuals to approach the Supreme Court directly.
The writ of Mandamus is issued to:,Produce a person before court,Command a public official to perform a duty,Prohibit lower court from exceeding jurisdiction,Transfer a case to another court,B,Legal Aptitude,It means 'we command' in Latin,Mandamus is a writ issued by a superior court directing a public official government body lower court or tribunal to perform a mandatory duty.
Which country topped the 2024 Paris Olympics medal tally?,China,Great Britain,Australia,USA,D,Legal Aptitude,,The USA topped the 2024 Paris Olympics medal tally with the most gold medals overall.
Who was the first woman President of India?,Sarojini Naidu,Sucheta Kripalani,Pratibha Patil,Nirmala Sitharaman,C,GK & Current Affairs,,Pratibha Patil served as the 12th President of India from 2007 to 2012 making her the first woman to hold the office.
The headquarters of the United Nations is located in:,Geneva,New York,Vienna,Paris,B,GK & Current Affairs,,The United Nations headquarters is located in New York City USA on international territory along the East River.
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Guglielmo Marconi,C,GK & Current Affairs,,Alexander Graham Bell is credited with inventing the telephone in 1876.
The Great Wall of China was primarily built during which dynasty?,Han,Ming,Tang,Song,B,GK & Current Affairs,,The majority of the existing Great Wall of China was built during the Ming Dynasty (1368–1644).
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,GK & Current Affairs,,Mars is called the Red Planet because of the reddish appearance of its surface caused by iron oxide (rust).
Who wrote the national anthem of India?,Bankim Chandra Chattopadhyay,Rabindranath Tagore,Sarojini Naidu,Subramanya Bharati,B,GK & Current Affairs,,Jana Gana Mana was written by Rabindranath Tagore. It was adopted as India's national anthem on 24 January 1950.
The Reserve Bank of India was established in:,1934,1935,1947,1949,B,GK & Current Affairs,,The Reserve Bank of India was established on 1 April 1935 under the Reserve Bank of India Act 1934.
Which Indian state has the longest coastline?,Gujarat,Maharashtra,Andhra Pradesh,Tamil Nadu,A,GK & Current Affairs,,Gujarat has the longest coastline among Indian states with approximately 1600 km.
Who was the first Prime Minister of India?,Sardar Vallabhbhai Patel,Jawaharlal Nehru,Rajendra Prasad,C. Rajagopalachari,B,GK & Current Affairs,,Jawaharlal Nehru was the first Prime Minister of India serving from 1947 until his death in 1964.
The International Court of Justice is located in:,New York,Geneva,Brussels,The Hague,D,GK & Current Affairs,,The International Court of Justice (ICJ) also known as the World Court is based in The Hague Netherlands.
Which is the largest ocean in the world?,Atlantic,Indian,Arctic,Pacific,D,GK & Current Affairs,,The Pacific Ocean is the world's largest and deepest ocean covering more than 30% of Earth's surface.
The Pulitzer Prize is awarded for excellence in:,Science,Journalism and Literature,Peace,Economics,B,GK & Current Affairs,,The Pulitzer Prize is an award for achievements in newspaper magazine and online journalism literature and musical composition.
Who composed the music for the Indian national anthem?,Rabindranath Tagore,A.R. Rahman,Vanraj Bhatia,Lata Mangeshkar,A,GK & Current Affairs,,Rabindranath Tagore both wrote and composed the national anthem Jana Gana Mana.
The 2024 FIFA World Cup was held in:,Qatar,Brazil,USA Canada Mexico,Germany,C,GK & Current Affairs,,The FIFA World Cup 2026 is scheduled for USA Canada and Mexico. The 2022 World Cup was held in Qatar.
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,Thailand,B,GK & Current Affairs,,Japan is known as the Land of the Rising Sun (Nippon meaning 'sun origin') because it is located in the east where the sun rises first.
The currency of Japan is:,Won,Yen,Yuan,Baht,B,GK & Current Affairs,,The Japanese Yen (¥) is the official currency of Japan.
ISRO stands for:,International Space Research Organisation,Indian Space Research Organisation,Indian Scientific Research Organisation,International Scientific Research Organisation,B,GK & Current Affairs,,ISRO stands for Indian Space Research Organisation established in 1969 with headquarters in Bengaluru.
Who was the first Indian to win the Nobel Prize?,Rabindranath Tagore,C.V. Raman,Amartya Sen,Mother Teresa,A,GK & Current Affairs,,Rabindranath Tagore won the Nobel Prize in Literature in 1913 for Gitanjali making him the first Indian and first Asian Nobel laureate.
