question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"Which article of the Indian Constitution guarantees Right to Equality?",Article 12,Article 14,Article 19,Article 21,B,Legal Aptitude,Look in Part III – Fundamental Rights,Article 14 guarantees equality before law and equal protection of laws to all persons within the territory of India.
"What is the meaning of 'mens rea'?",Guilty act,Guilty mind,Legal duty,Legal right,B,Legal Aptitude,Think about criminal intent,Mens rea refers to the criminal intent or guilty mind required to establish criminal liability.
"What is 'actus reus'?",Mental state,Legal duty,Guilty act,Lawful act,C,Legal Aptitude,Think physical act of crime,Actus reus refers to the physical act or conduct that constitutes a criminal offence.
"A contract without consideration is generally?",Valid,Voidable,Void,Illegal,C,Legal Aptitude,Consideration is essential for a contract,Under Section 25 of the Indian Contract Act an agreement without consideration is void with limited exceptions.
"Which article of the Constitution abolishes untouchability?",Article 14,Article 15,Article 17,Article 19,C,Legal Aptitude,It is in Fundamental Rights chapter,Article 17 abolishes untouchability and its practice in any form is forbidden.
"A minor's agreement is?",Valid,Voidable,Void ab initio,Unenforceable,C,Legal Aptitude,A minor lacks capacity to contract,A contract entered into by a minor is void ab initio i.e. void from the very beginning.
"Law of Torts deals with?",Criminal wrongs,Civil wrongs,Tax disputes,Constitutional matters,B,Legal Aptitude,Tort is a civil wrong not a crime,Law of Torts provides remedies for civil wrongs that cause harm to individuals.
"Which of the following is not a Fundamental Right?",Right to Equality,Right to Property,Right to Freedom of Religion,Right against Exploitation,B,Legal Aptitude,One right was removed by amendment,Right to Property was removed from Fundamental Rights by the 44th Constitutional Amendment 1978.
"Offer + Acceptance results in?",Contract,Agreement,Consideration,Promise,B,Legal Aptitude,Acceptance of offer creates agreement,When an offer is accepted it becomes an agreement. Agreement + enforceability = Contract.
"Which article of the Indian Constitution provides for freedom of speech and expression?",Article 14,Article 19,Article 21,Article 32,B,Legal Aptitude,Freedom is in Article 19,Article 19(1)(a) provides the right to freedom of speech and expression.
