question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Who is the head of state of the Republic of India?,Prime Minister,President,Vice President,Chief Justice,B,GK & Current Affairs,Union executive,Rashtrapati is the ceremonial head of state under the Constitution.
The first session of the UN General Assembly was held in?,Paris,London,New York,San Francisco,B,GK & Current Affairs,UN history,The GA first met in London in 1946 before New York became the main seat.
SAARC headquarters is in?,Dhaka,Kathmandu,Colombo,Thimphu,B,GK & Current Affairs,Regional bodies,The South Asian Association for Regional Cooperation is headquartered in Kathmandu.
The currency of Japan is?,Won,Yen,Baht,Ringgit,B,GK & Current Affairs,World capitals and money,Yen is the Japanese currency.
Which river is often called Dakshin Ganga?,Krishna,Godavari,Kaveri,Mahanadi,B,GK & Current Affairs,Peninsular rivers,Godavari is nicknamed Dakshin Ganga for its length and basin in the south.
The Nobel Peace Prize is awarded in?,Stockholm,Oslo,Copenhagen,Helsinki,B,GK & Current Affairs,Nobel,Unlike most Nobel prizes Peace is awarded in Oslo per Alfred Nobel’s will.
India’s first satellite Aryabhata was launched in which year?,1972,1975,1980,1984,B,GK & Current Affairs,Space milestones,Aryabhata was launched in 1975 with Soviet assistance.
Green Revolution in India is most linked to higher output of?,Coal,Cereals especially wheat and rice,Cotton only,Tea only,B,GK & Current Affairs,Agriculture,HYV seeds and inputs boosted foodgrain production notably in northwest and elsewhere.
WHO headquarters is in?,New York,Geneva,Paris,Rome,B,GK & Current Affairs,International orgs,World Health Organization is based in Geneva.
The line of control in the news most often refers to India and?,China,Bangladesh,Pakistan,Nepal,C,GK & Current Affairs,Security and borders,LoC is the military control line between Indian and Pakistani administered Kashmir regions.
ASEAN was established in?,1957,1967,1975,1985,B,GK & Current Affairs,Regional grouping,Association of Southeast Asian Nations was founded in 1967.
The deepest known trench on Earth is?,Puerto Rico Trench,Mariana Trench,Sunda Trench,Java Trench,B,GK & Current Affairs,Geography,Mariana Trench in the Pacific holds the greatest known depth.
G20 presidency rotates among?,Only EU members,Member economies including major emerging markets,Only NATO states,Only Commonwealth,B,GK & Current Affairs,Global economy,G20 includes major developed and emerging economies.
The first general elections in independent India were held in?,1948,1951–52,1955,1960,B,GK & Current Affairs,Indian democracy,The first Lok Sabha polls took place in 1951–52.
International Court of Justice sits in?,Geneva,The Hague,Brussels,Vienna,B,GK & Current Affairs,World law,ICJ is the principal judicial organ of the UN at The Hague.
The Sundarbans delta is mainly associated with?,Mahanadi,Ganga–Brahmaputra delta region,Godavari,Narmada,B,GK & Current Affairs,Environment,Mangrove Sundarbans span the Ganga–Brahmaputra delta in India and Bangladesh.
BRICS originally grouped Brazil Russia India China and?,Japan,South Africa,South Korea,Mexico,B,GK & Current Affairs,Acronym,South Africa joined to complete the current five-member BRICS.
The Strait of Hormuz is critical for global?,Wheat trade,Oil shipping routes,Silk exports only,Rare earths only,B,GK & Current Affairs,World energy,Much Persian Gulf oil passes through Hormuz.
India’s longest national highway network segment (by common numbering scheme) is often associated with which corridor?,NS EW grid,North–South and East–West corridors,Only coastal NH,Only hill NH,B,GK & Current Affairs,Infrastructure,Golden Quadrilateral and NS–EW corridors are major NH programs.
COP climate summits are convened under?,WTO,UNFCCC,WHO,ILO,B,GK & Current Affairs,Climate,Conference of Parties under the UN climate convention.
The Chipko movement is remembered for?,River linking,Forest conservation and hugging trees,Coal strikes,Sea walls,B,GK & Current Affairs,Environment,Chipko activists hugged trees to prevent felling in the Himalayas.
International Monetary Fund chief is appointed by?,Only USA,Executive Board representing member countries,Only G7,World Bank only,B,GK & Current Affairs,Global finance,IMF Managing Director is selected by the Executive Board.
The Tropic of Cancer passes through which Indian state among these?,Kerala,Madhya Pradesh,Tamil Nadu,Karnataka,B,GK & Current Affairs,Map,Tropic of Cancer crosses central India including Madhya Pradesh among listed options.
India’s first atomic power station was at?,Kalpakkam,Tarapur,Narora,Kaiga,B,GK & Current Affairs,Energy,Tarapur was India’s first commercial nuclear power station.
The organization NATO is primarily?,A trade bloc,A military alliance,A development bank,A cricket body,B,GK & Current Affairs,Security,North Atlantic Treaty Organization is a collective defence alliance.
The Great Barrier Reef lies off the coast of?,Brazil,Australia,South Africa,Indonesia,B,GK & Current Affairs,World geography,The reef is along Queensland Australia.
The first woman Prime Minister in the world was Sirimavo Bandaranaike of?,India,Sri Lanka,Bangladesh,Nepal,B,GK & Current Affairs,World polity,Bandaranaike became PM of Ceylon/Sri Lanka in 1960.
The International Red Cross movement began after which battle?,Waterloo,Solferino,Panipat,Plassey,B,GK & Current Affairs,History,Henry Dunant’s work followed the Battle of Solferino in 1859.
India shares the longest land border with?,Pakistan,China,Bangladesh,Nepal,C,GK & Current Affairs,Borders,India’s longest international land boundary is with Bangladesh.
The term Brexit refers to the UK leaving?,NATO,European Union,WTO,Commonwealth,B,GK & Current Affairs,Recent affairs,Brexit denotes withdrawal from the EU.
The headquarters of the International Labour Organization is in?,New York,Geneva,London,Rome,B,GK & Current Affairs,UN family,ILO is a UN agency based in Geneva.
The planet known as the Red Planet is?,Venus,Mars,Jupiter,Saturn,B,GK & Current Affairs,Science,Mars appears red due to iron oxide on its surface.
The first non-European Secretary-General of the UN was?,Kofi Annan,U Thant,Boutros Boutros-Ghali,Ban Ki-moon,B,GK & Current Affairs,Diplomacy,Burmese diplomat U Thant served from 1961 to 1971.
The Sardar Sarovar Dam is on which river?,Narmada,Tapi,Mahi,Sabarmati,A,GK & Current Affairs,Projects,The dam is part of the Narmada Valley projects.
India’s census is conducted by which office?,Election Commission,Registrar General and Census Commissioner,Planning Commission only,CBI,B,GK & Current Affairs,Governance,Census operations are under the Ministry of Home Affairs machinery headed by RGI.
