question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Which Article of the Indian Constitution is most associated with equality before the law?,Article 12,Article 14,Article 19,Article 32,B,Legal Aptitude,Part III,Article 14 guarantees equality before the law and equal protection of the laws.
A minor’s agreement under the Indian Contract Act is generally?,Valid,Voidable,Void ab initio,Contingent,C,Legal Aptitude,Capacity,Agreements with a minor are void ab initio subject to stated exceptions.
Habeas corpus is mainly sought to?,Transfer property,Secure release from unlawful detention,Challenge a tax demand,Remove a director,B,Legal Aptitude,Writ remedy,This writ requires the detaining authority to produce the person before the court.
The maxim actus non facit reum nisi mens sit rea broadly stresses?,Strict liability without fault,Normally both a wrongful act and a guilty mind in crime,That civil cases need no intent,That all torts are intentional,B,Legal Aptitude,Criminal law basics,The maxim links act and mind for criminal liability in ordinary analysis.
Defamation protects primarily?,Ownership of land,Reputation,Patents,Copyright,B,Legal Aptitude,Tort,Defamation guards against false statements harming reputation.
Which writ commands a public authority to perform a legal duty?,Mandamus,Certiorari,Prohibition,Quo warranto,A,Legal Aptitude,Writs,Mandamus means we command and directs performance of a duty.
The Indian Penal Code was enacted in?,1857,1860,1872,1882,B,Legal Aptitude,Chronology,The IPC was enacted in 1860.
Privity of contract means generally?,Third parties always sue,Only parties to the contract are bound in ordinary course,Oral contracts bind strangers,Minors are always liable,B,Legal Aptitude,Contract law,Outsiders are usually not entitled to enforce ordinary contracts.
Article 21 protects?,Trade freedom,Life and personal liberty,Right to property as FR,Official language,B,Legal Aptitude,Fundamental rights,No person shall be deprived of life or personal liberty except by procedure established by law.
Res ipsa loquitur is associated with?,Criminal conspiracy,Negligence where the thing speaks for itself,Arbitration,Insolvency,B,Legal Aptitude,Tort doctrine,The thing speaks for itself helps infer negligence from the event.
A partnership firm under the Partnership Act is?,A separate legal person like a company,An association of persons carrying on business,Always a LLP,A co-operative society,B,Legal Aptitude,Firm law,Partnership is relation between persons who agree to share profits of a business.
Consideration may move from the promisee or another person at whose desire under Indian law?,Never,Only the promisor,The promisee or such other person,Only a court officer,C,Legal Aptitude,Section 2(d),The Indian Contract Act allows consideration from the promisee or any other person at the promisor’s desire.
Article 19(1)(a) deals with?,Right to life,Freedom of speech and expression,Right to property,Right to work,B,Legal Aptitude,Fundamental freedoms,Article 19(1)(a) guarantees freedom of speech and expression.
Volenti non fit injuria is a defence in?,Theft,Breach of contract,Torts where the plaintiff consents to risk,Insolvency,C,Legal Aptitude,Defence,Voluntary assumption of risk can defeat a negligence claim in suitable cases.
Quo warranto challenges?,Rates of tax,Title to hold a public office,Boundary disputes,Marriage validity,B,Legal Aptitude,Writ,It asks by what authority a person holds an office.
Murder and culpable homicide not amounting to murder are distinguished mainly under?,Contract Act,IPC,CRPC,Evidence Act,B,Legal Aptitude,Penal law,Distinctions are drawn in the IPC with related sections.
A void contract is?,Enforceable if written,Enforceable by one side only,Not enforceable at law from the start,Voidable at option of a party,C,Legal Aptitude,Void vs voidable,A void agreement has no legal effect.
Article 32 empowers citizens to move the Supreme Court for?,Directive Principles,Enforcement of Fundamental Rights,Ordinary civil claims,Tax refunds,B,Legal Aptitude,Remedies,Article 32 is the right to constitutional remedies for FRs.
Novation means?,Destruction of contract,Substitution of a new contract for an old one,Fraud in performance,Breach only,B,Legal Aptitude,Contract terms,Parties may replace old obligations with new agreed terms.
The burden of proof in a criminal trial lies generally on?,Accused,Prosecution,Judge,Police,B,Legal Aptitude,Evidence basics,Prosecution must prove guilt beyond reasonable doubt.
A company is incorporated under?,Partnership Act,Companies Act,IPC,Sale of Goods Act,B,Legal Aptitude,Corporate law,Incorporation follows the Companies Act framework.
Article 15 prohibits discrimination on grounds only of?,Wealth,Religion race caste sex or place of birth,Height,Language preference,B,Legal Aptitude,Equality code,Article 15(1) bars discrimination on these specified grounds.
Nuisance in tort concerns?,Only noise,Unreasonable interference with use of land or rights,Only water pollution,Only air crashes,B,Legal Aptitude,Tort,Nuisance is unlawful or unreasonable interference with enjoyment.
A bailment requires?,Transfer of ownership,Delivery of goods for a purpose with return,Gift,Abandonment,B,Legal Aptitude,Bailment,Bailment is delivery of goods for a purpose upon a contract.
Article 17 abolishes?,Untouchability,Sati,Child labour,Tax evasion,A,Legal Aptitude,FR text,Article 17 forbids untouchability in any form.
Attempt is generally an offence under IPC when?,Never,Combined with a completed crime,When coupled with intention and a step toward the offence,Only if police file FIR,C,Legal Aptitude,Inchoate offences,Attempt provisions punish substantial steps toward crime with intent.
Specific performance is a remedy mainly in?,Criminal law,Tort only,Contract where damages are inadequate,Insolvency,C,Legal Aptitude,Equity,Courts may order exact performance of a contract in fit cases.
Article 326 relates to?,Elections to Lok Sabha and Assemblies,Taxes on professions,Minorities,Language,A,Legal Aptitude,Constitution,Article 326 provides for adult suffrage for elections to the House and Assemblies.
Fiduciary duty implies?,Duty to compete,Duty of loyalty and care in trust-like relationships,Duty to delay,Duty to conceal,B,Legal Aptitude,Equity and law,Trustees and similar roles owe heightened duties.
A cheque bounce case under Negotiable Instruments Act is typically?,Only civil,Summary criminal procedure in prescribed courts,Only tax,Only consumer forum,B,Legal Aptitude,NI Act,Section 138 creates a statutory offence with a special trial scheme.
Doctrine of basic structure is associated with?,State List,Kesavananda Bharati and limits on amending power,Only GST,Only rent control,B,Legal Aptitude,Constitutional law,Parliament cannot amend away the basic structure of the Constitution.
Free consent under contract excludes?,Agreement by mistake as to nature of fact if material,All mistakes,All silence,All advertisements,A,Legal Aptitude,Free consent,Mistake as to the nature of the agreement can vitiate consent.
Article 300A protects?,Right to property as a constitutional right in a limited sense,Right to strike always,Right to foreign travel only,Right to free electricity,A,Legal Aptitude,Property,Article 300A says no person shall be deprived of property save by authority of law.
Contempt of court may be?,Only of legislature,Only civil,Civil or criminal as classified,Only of police,C,Legal Aptitude,Contempt law,Statute and practice distinguish civil and criminal contempt.
Ultra vires acts of a company are?,Always valid,Beyond powers and often void,Only tax offences,Only labour issues,B,Legal Aptitude,Company law,Acts outside the company’s objects or powers may be ultra vires.
