question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"The Indian Constitution came into force on?",15 August 1947,26 January 1950,26 November 1949,2 October 1950,B,GK & Current Affairs,Republic Day is the clue,The Indian Constitution was adopted on 26 November 1949 and came into force on 26 January 1950 which is celebrated as Republic Day.
"Who is the current President of India (as of 2024)?",Narendra Modi,Droupadi Murmu,Ram Nath Kovind,Pratibha Patil,B,GK & Current Affairs,She became President in 2022,Droupadi Murmu became the 15th President of India on 25 July 2022 and is the first tribal woman to hold this position.
"The headquarters of the United Nations is located in?",Geneva,Paris,New York,London,C,GK & Current Affairs,It is in the USA,The United Nations Headquarters is located in New York City USA and was established in 1945.
"Which is the national bird of India?",Sparrow,Eagle,Peacock,Flamingo,C,GK & Current Affairs,Think of a colourful bird,The Indian Peacock (Pavo cristatus) is the national bird of India adopted in 1963.
"India hosted the G20 Summit in which year?",2021,2022,2023,2024,C,GK & Current Affairs,India was G20 president in 2023,India hosted the G20 Summit in New Delhi in September 2023 under the theme 'Vasudhaiva Kutumbakam'.
"Who wrote the 'Discovery of India'?",Mahatma Gandhi,B.R. Ambedkar,Jawaharlal Nehru,Rabindranath Tagore,C,GK & Current Affairs,It was written by India's first PM,The Discovery of India was written by Jawaharlal Nehru while he was imprisoned at Ahmednagar Fort during 1942–1946.
"The Preamble of the Indian Constitution begins with?",We the People of Bharat,We the Citizens of India,We the People of India,Sovereign Democratic India,C,GK & Current Affairs,Think of the opening words,The Preamble begins with 'WE THE PEOPLE OF INDIA' signifying that power is derived from the people.
"Which river is known as the 'Sorrow of Bihar'?",Ganga,Kosi,Yamuna,Brahmaputra,B,GK & Current Affairs,It causes frequent floods in Bihar,The Kosi River is known as the 'Sorrow of Bihar' because of its frequent devastating floods.
"How many Schedules are there in the Indian Constitution?",8,10,12,14,C,GK & Current Affairs,It was 8 originally now more were added,The Indian Constitution originally had 8 Schedules; after amendments it now has 12 Schedules.
"The 'Right to Education Act' was enacted in India in?",2005,2009,2012,2015,B,GK & Current Affairs,It was enacted in the UPA era,The Right of Children to Free and Compulsory Education Act (RTE Act) was enacted in 2009 and came into force on 1 April 2010.
"ISRO stands for?",Indian Space Research Organisation,Indian Scientific Research Organisation,International Space Research Organisation,Indian Space Rocket Organisation,A,GK & Current Affairs,It is India's space agency,ISRO – Indian Space Research Organisation – is India's national space agency headquartered in Bengaluru.
"The national animal of India is?",Lion,Elephant,Tiger,Leopard,C,GK & Current Affairs,It was adopted in 1973,The Bengal Tiger (Panthera tigris tigris) was declared the national animal of India in 1973 under Project Tiger.
"Which planet is closest to the Sun?",Venus,Mars,Mercury,Earth,C,GK & Current Affairs,Think of the order of planets,Mercury is the closest planet to the Sun in the solar system.
"The Battle of Panipat (First) was fought in?",1526,1556,1761,1600,A,GK & Current Affairs,It was when Babur defeated Ibrahim Lodi,The First Battle of Panipat was fought in 1526 between Babur and Ibrahim Lodi marking the beginning of the Mughal Empire.
"Who is known as the 'Father of the Nation' in India?",Jawaharlal Nehru,B.R. Ambedkar,Mahatma Gandhi,Subhas Chandra Bose,C,GK & Current Affairs,He led the non-violence movement,Mahatma Gandhi is referred to as the 'Father of the Nation' for his leadership in India's freedom struggle through non-violence.
"The first person to walk on the Moon was?",Yuri Gagarin,Neil Armstrong,Edwin Aldrin,John Glenn,B,GK & Current Affairs,Apollo 11 mission 1969,Neil Armstrong became the first human to walk on the Moon on 20 July 1969 during NASA's Apollo 11 mission.
"Chandrayaan-3 successfully landed on the Moon's south pole in?",2020,2021,2022,2023,D,GK & Current Affairs,It was a recent ISRO achievement,Chandrayaan-3 made a successful soft landing near the Moon's south pole on 23 August 2023 making India the first country to do so.
"The Strait of Hormuz is strategically important because of?",Freshwater supply,Oil shipping route,Rare earth minerals,Nuclear submarine bases,B,GK & Current Affairs,Think: Middle East oil trade route,The Strait of Hormuz is a critical chokepoint through which a significant portion of the world's oil and natural gas passes.
"The 'Universal Declaration of Human Rights' was adopted in?",1945,1948,1950,1960,B,GK & Current Affairs,It was after World War II,The Universal Declaration of Human Rights was adopted by the United Nations General Assembly on 10 December 1948.
"Who was the first woman Prime Minister of India?",Sarojini Naidu,Indira Gandhi,Vijaya Lakshmi Pandit,Pratibha Patil,B,GK & Current Affairs,She was also the world's first female PM,Indira Gandhi served as the first (and only) woman Prime Minister of India from 1966 to 1977 and again from 1980 to 1984.
"The Tropic of Cancer passes through how many Indian states?",6,7,8,9,C,GK & Current Affairs,It passes through central India,The Tropic of Cancer passes through 8 Indian states: Gujarat Rajasthan Madhya Pradesh Chhattisgarh Jharkhand West Bengal Tripura and Mizoram.
"Which country is the largest producer of rice in the world?",India,USA,China,Thailand,C,GK & Current Affairs,Think Asia's most populous nation,China is the world's largest producer of rice accounting for about 30% of global production.
"The 'Silicon Valley of India' is?",Hyderabad,Chennai,Pune,Bengaluru,D,GK & Current Affairs,Think IT capital of India,Bengaluru (Bangalore) is known as the 'Silicon Valley of India' due to its concentration of IT companies and tech startups.
"The Kyoto Protocol is associated with?",Nuclear disarmament,Climate change and greenhouse gases,Maritime law,Trade agreements,B,GK & Current Affairs,Think environment international agreement,The Kyoto Protocol (1997) is an international treaty committing countries to reduce greenhouse gas emissions to combat climate change.
"Which High Court has jurisdiction over Goa?",Mumbai High Court,Delhi High Court,Allahabad High Court,Karnataka High Court,A,GK & Current Affairs,Goa was a Portuguese colony under Bombay presidency,The Bombay High Court has jurisdiction over Maharashtra Goa Dadra & Nagar Haveli and Daman & Diu.
"The 'Doctrine of Separation of Powers' was propounded by?",John Locke,Rousseau,Montesquieu,Karl Marx,C,GK & Current Affairs,He was a French philosopher,Montesquieu in his work 'The Spirit of the Laws' (1748) propounded the doctrine of separation of powers into executive legislative and judicial.
"Who drafted the Indian Constitution?",Jawaharlal Nehru,Sardar Patel,B.R. Ambedkar,Rajendra Prasad,C,GK & Current Affairs,He was the Chairman of Drafting Committee,Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Indian Constitution and is called its chief architect.
"United Nations was established in?",1919,1939,1945,1950,C,GK & Current Affairs,It was after World War II ended,The United Nations was officially established on 24 October 1945 after the ratification of the UN Charter following World War II.
"The 'Pink City' of India is?",Jaipur,Jodhpur,Udaipur,Bikaner,A,GK & Current Affairs,It is the capital of Rajasthan,Jaipur is known as the 'Pink City' because of the pink-coloured buildings in its old city area painted in honour of Prince Albert's visit in 1876.
"India's first satellite was?",Aryabhata,Rohini,INSAT-1A,Bhaskar,A,GK & Current Affairs,Named after ancient Indian mathematician,India's first satellite Aryabhata was launched on 19 April 1975 by the Soviet Union from Kapustin Yar.
