question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"What is mens rea?",Guilty act,Guilty mind,Legal duty,Legal right,B,Legal Aptitude,Think intention,Mens rea means guilty mind required for crime
"What is actus reus?",Mental state,Guilty act,Legal right,Legal duty,B,Legal Aptitude,Act vs mind,Actus reus is the physical act of crime
"A contract without consideration is?",Valid,Void,Illegal,Enforceable,B,Legal Aptitude,Consideration rule,Agreement without consideration is void
"Law of tort deals with?",Crime,Contracts,Civil wrongs,Tax,C,Legal Aptitude,Tort basics,Tort refers to civil wrongs
"Offer + Acceptance forms?",Contract,Agreement,Promise,Consideration,B,Legal Aptitude,Contract basics,Offer and acceptance create agreement
"Defamation protects?",Property,Reputation,Life,Money,B,Legal Aptitude,Think image,Defamation protects reputation
"Who can enter into contract?",Minor,Major,Any person,Company,B,Legal Aptitude,Age rule,Only competent major can contract
"Assault means?",Physical harm,Threat,Agreement,Damage,B,Legal Aptitude,Fear concept,Assault is threat of harm
"Battery means?",Threat,Actual harm,Agreement,Offer,B,Legal Aptitude,Touch harm,Battery is physical harm
"Void contract means?",Valid,Illegal,Not enforceable,Enforceable,C,Legal Aptitude,Definition,Void contracts are not enforceable
"Capital of India?",Mumbai,Delhi,Kolkata,Chennai,B,GK & Current Affairs,Static GK,New Delhi is capital of India
"President of India (2024)?",Modi,Murmu,Gandhi,Shah,B,GK & Current Affairs,Current affairs,Droupadi Murmu is President
"Indian Constitution came into force?",1947,1950,1949,1951,B,GK & Current Affairs,Date,26 Jan 1950 enforcement
"National bird of India?",Sparrow,Peacock,Crow,Eagle,B,GK & Current Affairs,Symbol,Peacock is national bird
"Currency of India?",Dollar,Rupee,Euro,Yen,B,GK & Current Affairs,Basic GK,Rupee is Indian currency
"UNO headquarters?",London,Paris,New York,Geneva,C,GK & Current Affairs,Location,UN HQ in New York
"First PM of India?",Nehru,Gandhi,Patel,Bose,A,GK & Current Affairs,History,Nehru was first PM
"ISRO is related to?",Defense,Space,Law,Finance,B,GK & Current Affairs,Space agency,ISRO handles space research
"G20 summit 2023 held in?",USA,India,China,Russia,B,GK & Current Affairs,Recent event,India hosted G20
"National animal of India?",Lion,Tiger,Elephant,Dog,B,GK & Current Affairs,Symbol,Tiger is national animal
"Find next: 2,4,8,16,?",20,24,32,30,C,Logical Reasoning,Pattern doubling,Each term doubles; next is 32
"Odd one out: Dog,Cat,Cow,Car",Dog,Cat,Cow,Car,D,Logical Reasoning,Category,Car is not animal
"Find missing: A,C,E,?,I",F,G,H,J,A,Logical Reasoning,Alphabet pattern,Letter F completes the skip-one pattern
"If all cats are dogs?",True,False,Depends,None,C,Logical Reasoning,Syllogism,Depends on assumption
"Coding: A=1,B=2,C=?",1,2,3,4,C,Logical Reasoning,Basic coding,C=3
"Direction: North+South?",East,West,Zero,Up,C,Logical Reasoning,Opposite cancel,North and South cancel
"Series: 1,3,5,7,?",8,9,10,11,B,Logical Reasoning,Odd series,Next is 9
"Odd: Apple,Mango,Banana,Table",Apple,Mango,Banana,Table,D,Logical Reasoning,Fruit vs object,Table is different
"Mirror image of M?",W,M,E,None,B,Logical Reasoning,Symmetry,M remains same
"If 2+2=5 then 3+3=?",5,6,7,8,C,Logical Reasoning,Pattern logic,Follow given pattern
"Synonym of happy?",Sad,Joyful,Angry,Tired,B,English,Vocab,Joyful means happy
"Antonym of big?",Large,Small,Huge,Wide,B,English,Opposite,Small is opposite
"Correct spelling?",Recieve,Receive,Recive,Receeve,B,English,Spelling,Correct spelling is receive
"Fill: He ___ going",is,are,am,be,A,English,Grammar,is correct usage
"Plural of child?",Childs,Children,Childes,Child,B,English,Grammar,Children is plural
"Opposite of light?",Dark,Bright,Heavy,Soft,A,English,Meaning,Dark is opposite
"He runs ___ fast",very,too,so,all,A,English,Usage,Very fits best
"Sentence correct?",He go,He goes,He going,He gone,B,English,Grammar,He goes is correct
"Fill: I ___ a book",has,have,had,having,B,English,Grammar,Have correct
"Meaning of law?",Rule,Game,Food,Play,A,English,Basic,Law means a system of rules
